Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3]
2ro6NVukjA0hxWwZJgTpIl,False,1,Floor:Boden BSP 120 - 5s:729845,IfcSlab,Floor:Boden BSP 120 - 5s,Brettsperrholz,0,0.12,7.97,25.1852,0.6181
3PSzbSor5DzehfFtR_jjmV,False,1,Floor:Bodenaufbau Hauptgeschoss:687594,IfcSlab,Floor:Bodenaufbau Hauptgeschoss,Unknown,0,,7.79,56.5554,17.0593
17eMdncQP0cPM7MCmsTKi8,False,1,Floor:Bodenaufbau Hauptgeschoss ohne FBH:5900012,IfcSlab,Floor:Bodenaufbau Hauptgeschoss ohne FBH,Unknown,0,,17.43,115.3866,27.9729
0XxTIRndPDswCFuTTPaYIN,False,1,Floor:BSP 160 - 5s:1434703,IfcSlab,Floor:BSP 160 - 5s,Brettsperrholz,0,0.16,16.94,94.6946,2.7814
2uvY1DJi929x4ZbMR9rWjH,False,1,Floor:Fensterbank 24mm:6737713,IfcSlab,Floor:Fensterbank 24mm,"Holzschalung Horizontal, Nadelholz,  schwarz gestrichen",0,0.024,3.2,0.704,0.0169
1ToJR57Y16uvjKSTB4E_TQ_L1,False,1,Floor:Galerie Fussbodenaufbau:1353081 (L1),IfcSlab,Floor:Galerie Fussbodenaufbau,PU Bodenbelag - Sika PS23,1,0.004,16.83,107.712,0.2672
1ToJR57Y16uvjKSTB4E_TQ_L2,False,1,Floor:Galerie Fussbodenaufbau:1353081 (L2),IfcSlab,Floor:Galerie Fussbodenaufbau,Knauf - Vidiwall,2,0.015,16.83,107.712,1.0019
1ToJR57Y16uvjKSTB4E_TQ_L3,False,1,Floor:Galerie Fussbodenaufbau:1353081 (L3),IfcSlab,Floor:Galerie Fussbodenaufbau,Knauf - Brio Heizboden 25,3,0.025,16.83,107.712,1.6699
1ToJR57Y16uvjKSTB4E_TQ_L4,False,1,Floor:Galerie Fussbodenaufbau:1353081 (L4),IfcSlab,Floor:Galerie Fussbodenaufbau,Trittschalldämmung Flumroc 341,4,0.03,16.83,107.712,2.0039
3fl00qHO16BwCmbpQP9mlL,False,1,Floor:Gitterrost schwarz:354156,IfcSlab,Floor:Gitterrost schwarz,Zink Gitter,0,0.03,4.18,2.4244,0.042
3ZnJlnBePBXQGgUrEPS3c7,False,1,Floor:Massivholz 24mm:6301249,IfcSlab,Floor:Massivholz 24mm,Massivholz Fichte,0,0.024,2.05,0.287,0.0068
0plsFTxFrAH8fTRVJG6Lb8,False,1,Floor:Mehrschichtplatte 50mm:3167216,IfcSlab,Floor:Mehrschichtplatte 50mm,3-Schicht-Platte,0,0.04,5.5,3.795,0.1494
3dHkNX9eXDKekm9KvP4T_n,False,1,Floor:Terrassenbelag Holzlattung Douglasie:7269453,IfcSlab,Floor:Terrassenbelag Holzlattung Douglasie,Terrassenbelag Holz,0,0.026000000000000002,8.57,19.3682,0.3438
3FWYQdBzL92vc$OVs8UAaq,False,1,Haustechnik_Platzhalter:Pury Ausseneinheit:6192195,IfcBuildingElementProxy,Haustechnik_Platzhalter:Pury Ausseneinheit,3D-Schnittmaterial,0,,1.5,1.38,1.0453
1Et2c94TXFAwSKPeylnBiH,False,1,Montageraum Elektro:Montageraum Elektro:6274127,IfcBuildingElementProxy,Montageraum Elektro:Montageraum Elektro,3D-Schnittmaterial,0,,2.33,0.9087,0.1805
1Et2c94TXFAwSKPeylnBlG,False,1,Montageraum Elektro1:Montageraum Elektro:6274190,IfcBuildingElementProxy,Montageraum Elektro1:Montageraum Elektro,3D-Schnittmaterial,0,,2.33,0.9087,0.1805
1Et2c94TXFAwSKPeylnBH_,False,1,Rohranschluss_Technikschnttelle_Nest:E-Gelbwasser:6271776,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:E-Gelbwasser,3D-Schnittmaterial,0,,0.12,0.0072,0.0004
1Et2c94TXFAwSKPeylnBH8,False,1,Rohranschluss_Technikschnttelle_Nest:E-Grauwasser leicht:6271766,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:E-Grauwasser leicht,3D-Schnittmaterial,0,,0.11,0.0099,0.0007
1Et2c94TXFAwSKPeylnBMe,False,1,Rohranschluss_Technikschnttelle_Nest:E-Grauwasser schwer:6271734,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:E-Grauwasser schwer,3D-Schnittmaterial,0,,0.11,0.0099,0.0007
1Et2c94TXFAwSKPeylnBHY,False,1,Rohranschluss_Technikschnttelle_Nest:E-Regenwasser:6271804,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:E-Regenwasser,3D-Schnittmaterial,0,,0.11,0.0121,0.0011
1Et2c94TXFAwSKPeylnBGM,False,1,Rohranschluss_Technikschnttelle_Nest:E-Schmutzwasser:6271816,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:E-Schmutzwasser,3D-Schnittmaterial,0,,0.11,0.0121,0.001
1Et2c94TXFAwSKPeylnBGC,False,1,Rohranschluss_Technikschnttelle_Nest:E-Schwarzwasser:6271826,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:E-Schwarzwasser,3D-Schnittmaterial,0,,0.13,0.0143,0.0012
1Et2c94TXFAwSKPeylnBCG,False,1,Rohranschluss_Technikschnttelle_Nest:Grauwasser aufbereitet:6272078,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:Grauwasser aufbereitet,3D-Schnittmaterial,0,,0.11,0.0033,0.0001
1Et2c94TXFAwSKPeylnBIk,False,1,Rohranschluss_Technikschnttelle_Nest:Kaltwasser:6271984,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:Kaltwasser,3D-Schnittmaterial,0,,0.11,0.0033,0.0001
1Et2c94TXFAwSKPeylnBNx,False,1,Rohranschluss_Technikschnttelle_Nest:MTE - Rücklauf:6271653,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:MTE - Rücklauf,3D-Schnittmaterial,0,,0.19,0.0095,0.0004
1Et2c94TXFAwSKPeylnBNl,False,1,Rohranschluss_Technikschnttelle_Nest:MTE - Vorlauf:6271665,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:MTE - Vorlauf,3D-Schnittmaterial,0,,0.19,0.0095,0.0003
1Et2c94TXFAwSKPeylnBNY,False,1,Rohranschluss_Technikschnttelle_Nest:NTE - Rücklauf:6271676,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:NTE - Rücklauf,3D-Schnittmaterial,0,,0.19,0.0114,0.0005
1Et2c94TXFAwSKPeylnBMR,False,1,Rohranschluss_Technikschnttelle_Nest:NTE - Vorlauf:6271685,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:NTE - Vorlauf,3D-Schnittmaterial,0,,0.19,0.0114,0.0005
1Et2c94TXFAwSKPeylnBD2,False,1,Rohranschluss_Technikschnttelle_Nest:Regenwasser aufbereitet:6272028,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:Regenwasser aufbereitet,3D-Schnittmaterial,0,,0.11,0.0033,0.0001
1Et2c94TXFAwSKPeylnBC2,False,1,Rohranschluss_Technikschnttelle_Nest:Regenwasser Trinkwasser:6272092,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:Regenwasser Trinkwasser,3D-Schnittmaterial,0,,0.11,0.0022,0.0
1YKyzAV3HA3hGaVYlxUqa8,False,1,Shell_V12:Shell_V12:5294566,IfcBuildingElementProxy,Shell_V12:Shell_V12,"Concrete, Lightweight",0,,0.0,281.8965,11.5047
1Tv0YGeiT2fAVW5nnqum0c,False,1,TU DF 1 - Rahmenstock flächenbündig variabel:DL - H - 900 x 2130 - EI 30:5464826,IfcDoor,TU DF 1 - Rahmenstock flächenbündig variabel:DL - H - 900 x 2130 - EI 30,Unknown,0,,2.13,2.1087,0.1
1a1$QVmKz8nRXZVkIMOOBt,False,1,Tür Forster Unico:Ausstattung Sage Glas:2668518,IfcWindow,Tür Forster Unico:Ausstattung Sage Glas,Unknown,0,,2.17,2.6908,0.1289
