Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3],GWPbiogenic (min),GWPbiogenic (mean),GWPbiogenic (max),GWPfossil (min),GWPfossil (mean),GWPfossil (max),GWPtotal (min),GWPtotal (mean),GWPtotal (max),GWPtotal (A1-A3) (min),GWPtotal (A1-A3) (mean),GWPtotal (A1-A3) (max),GWPtotal (A4) (min),GWPtotal (A4) (mean),GWPtotal (A4) (max),GWPtotal (A5) (min),GWPtotal (A5) (mean),GWPtotal (A5) (max),GWPtotal (C1) (min),GWPtotal (C1) (mean),GWPtotal (C1) (max),GWPtotal (C2) (min),GWPtotal (C2) (mean),GWPtotal (C2) (max),GWPtotal (C3) (min),GWPtotal (C3) (mean),GWPtotal (C3) (max),GWPtotal (C4) (min),GWPtotal (C4) (mean),GWPtotal (C4) (max)
325c6f48a0,True,9,Basic Wall:BSP 140 Sichtseite einseitig,IfcWall,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,27.24,61.2555,7.3126,10.5414,10.9398,11.3383,1094.9389,1182.4809,1270.0229,1119.8798,1207.53,1295.1802,-4670.1486,-4582.2094,-4494.2702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7558,11.7558,11.7558,5778.2727,5777.9837,5777.6946,0.0,0.0,0.0
a5c867b4fd,True,2,Basic Wall:BSP 140 Sichtseite einseitig (2),IfcWallStandardCase,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,2.37,7.5063,0.9909,1.4284,1.4824,1.5364,148.3706,160.233,172.0955,151.7503,163.6274,175.5045,-632.8324,-620.9162,-608.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593,1.593,1.593,782.9897,782.9506,782.9114,0.0,0.0,0.0
369c58d53c,True,2,Basic Wall:Fensterlaibung 24mm,IfcWallStandardCase,Basic Wall:Fensterlaibung 24mm,"Massivholz Fichte, schwarz lasiert",0,0.024,0.44,0.9312,0.0224,-17.8367,-8.9084,0.02,2.7349,2.7307,2.7265,1.5022,2.137,2.7719,-16.604,-16.0101,-15.4163,0.0,0.0,0.0,0.104,0.052,0.0,0.0,0.0,0.0,0.0141,0.0254,0.0367,17.9881,18.0698,18.1515,0.0,0.0,0.0
6125c4d99e,True,2,Basic Wall:Fensterlaibung 40mm,IfcWallStandardCase,Basic Wall:Fensterlaibung 40mm,"Massivholz Fichte, schwarz lasiert",0,0.04,0.392,0.8664,0.0346,-27.5513,-13.7602,0.0309,4.2244,4.2179,4.2114,2.3204,3.3011,4.2817,-25.6473,-24.73,-23.8127,0.0,0.0,0.0,0.1607,0.0804,0.0,0.0,0.0,0.0,0.0218,0.0393,0.0568,27.7852,27.9114,28.0376,0.0,0.0,0.0
031893e96a,True,5,Basic Wall:Gipsfaserplatte Vidiwall 15mm,IfcWallStandardCase,Basic Wall:Gipsfaserplatte Vidiwall 15mm,Gipsfaserplatte,0,0.015,9.0553,16.2994,0.2444,-29.1573,-29.1573,-29.1573,229.1916,229.1916,229.1916,105.784,105.784,105.784,65.6427,65.6427,65.6427,2.2477,2.2477,2.2477,0.0247,0.0247,0.0247,0.0,0.0,0.0,1.5371,1.5371,1.5371,36.3318,36.3318,36.3318,0.0,0.0,0.0
f17ad5cce9_L1,True,18,Basic Wall:Holzbau_Archisonic_Vorbauschale (L1),IfcWallStandardCase,Basic Wall:Holzbau_Archisonic_Vorbauschale,Archisonic Charcoal,1,0.012,10.7162,25.8666,0.31,0.1456,1.0664,1.9871,54.451,85.2185,115.9861,54.964,87.2056,119.4472,-237.1364,-239.6419,-242.1473,0.0,4.1449,8.2899,0.0,14.5235,29.047,0.0,0.0046,0.0091,0.8519,1.3502,1.8485,291.2486,145.6243,0.0,0.0,161.2,322.4
f17ad5cce9_L2,True,18,Basic Wall:Holzbau_Archisonic_Vorbauschale (L2),IfcWallStandardCase,Basic Wall:Holzbau_Archisonic_Vorbauschale,MDF,2,0.012,10.7162,25.8666,0.31,0.1456,1.0664,1.9871,54.451,85.2185,115.9861,54.964,87.2056,119.4472,-237.1364,-239.6419,-242.1473,0.0,4.1449,8.2899,0.0,14.5235,29.047,0.0,0.0046,0.0091,0.8519,1.3502,1.8485,291.2486,145.6243,0.0,0.0,161.2,322.4
78593db8a4_L1,True,3,Basic Wall:Holzfassade hinterlüftet (L1),IfcWall,Basic Wall:Holzfassade hinterlüftet,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",1,0.02,30.32,73.646,1.0979,-874.2375,-443.0811,-11.9246,134.0456,142.0048,149.964,73.6286,106.5216,139.4145,-813.8205,-839.5831,-865.3457,0.0,0.0,0.0,5.0991,2.5495,0.0,0.0,0.0,0.0,0.6918,1.372,2.0522,881.6581,942.183,1002.708,0.0,0.0,0.0
78593db8a4_L2,True,3,Basic Wall:Holzfassade hinterlüftet (L2),IfcWall,Basic Wall:Holzfassade hinterlüftet,Luft,2,0.03,30.32,73.646,1.6468,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
78593db8a4_L3,True,3,Basic Wall:Holzfassade hinterlüftet (L3),IfcWall,Basic Wall:Holzfassade hinterlüftet,Luft,3,0.04,30.32,73.646,2.1957,-1758.2392,-878.1405,1.9582,169.1712,218.2132,267.2551,96.3631,184.0378,271.7124,-1685.4311,-1598.2872,-1511.1432,0.0,0.0,0.0,6.2168,3.1084,0.0,0.0,0.0,0.0,1.3923,2.497,3.6016,1774.1852,1776.7197,1779.2541,0.0,0.0,0.0
